aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000000.0,0.01,a_and_b,32439,610.6357890815535,iter_sketch_mom,2.7578527977420126e-15,0,
10,1000000.0,0.01,a_and_b,32439,610.6357890815535,sketch_pre_cold,2.11780060561419e-10,0,
10,1000000.0,0.01,a_and_b,32439,610.6357890815535,sketch_pre_warm,7.2106808971603696e-12,0,
10,1000000.0,0.01,a_and_b,32439,610.6357890815535,spir,1.2816013086425379e-17,1,20
10,1000000.0,0.01,a_and_b,32439,610.6357890815535,qr_ref,1.825464594489144e-16,1,0
10,1000000.0,0.01,a_and_b,10001,630.6108136934367,iter_sketch_mom,2.896042938727368e-15,0,
10,1000000.0,0.01,a_and_b,10001,630.6108136934367,sketch_pre_cold,6.634416808417588e-10,0,
10,1000000.0,0.01,a_and_b,10001,630.6108136934367,sketch_pre_warm,4.451238513878631e-12,0,
10,1000000.0,0.01,a_and_b,10001,630.6108136934367,spir,1.4631139687181206e-17,1,20
10,1000000.0,0.01,a_and_b,10001,630.6108136934367,qr_ref,2.2890136958503375e-16,1,0
10,1000000.0,0.01,a_and_b,20002,599.5079327583828,iter_sketch_mom,4.2749352315330085e-15,0,
10,1000000.0,0.01,a_and_b,20002,599.5079327583828,sketch_pre_cold,3.4957221976472877e-10,0,
10,1000000.0,0.01,a_and_b,20002,599.5079327583828,sketch_pre_warm,2.065938998013697e-12,0,
10,1000000.0,0.01,a_and_b,20002,599.5079327583828,spir,1.4131648904359523e-17,1,20
10,1000000.0,0.01,a_and_b,20002,599.5079327583828,qr_ref,3.066458348845552e-16,1,0
10,1000000.0,0.01,a_and_b,30003,610.1743455734585,iter_sketch_mom,6.169601981694311e-15,0,
10,1000000.0,0.01,a_and_b,30003,610.1743455734585,sketch_pre_cold,1.622239539879658e-09,0,
10,1000000.0,0.01,a_and_b,30003,610.1743455734585,sketch_pre_warm,1.5536523979338206e-11,0,
10,1000000.0,0.01,a_and_b,30003,610.1743455734585,spir,1.9709157208805566e-17,1,20
10,1000000.0,0.01,a_and_b,30003,610.1743455734585,qr_ref,2.152183616022284e-16,1,0
10,1000000.0,0.01,a_and_b,40004,602.111505407568,iter_sketch_mom,3.993929737432798e-15,0,
10,1000000.0,0.01,a_and_b,40004,602.111505407568,sketch_pre_cold,1.1867256938056061e-10,0,
10,1000000.0,0.01,a_and_b,40004,602.111505407568,sketch_pre_warm,7.907397050833993e-12,0,
10,1000000.0,0.01,a_and_b,40004,602.111505407568,spir,2.090790470081748e-17,1,20
10,1000000.0,0.01,a_and_b,40004,602.111505407568,qr_ref,3.132068471190678e-16,1,0
10,1000000.0,1e-06,b_only,32439,1000000.0,iter_sketch_mom,2.6102728210968693e-15,0,
10,1000000.0,1e-06,b_only,32439,1000000.0,sketch_pre_cold,6.141101411928254e-10,0,
10,1000000.0,1e-06,b_only,32439,1000000.0,sketch_pre_warm,2.0994249411236285e-17,1,6
10,1000000.0,1e-06,b_only,32439,1000000.0,spir,1.1276981345021858e-17,1,3
10,1000000.0,1e-06,b_only,32439,1000000.0,qr_ref,1.3718264186170963e-16,1,0
10,1000000.0,1e-06,b_only,10001,1000000.0,iter_sketch_mom,3.4705831758756245e-15,0,
10,1000000.0,1e-06,b_only,10001,1000000.0,sketch_pre_cold,3.572366354746701e-10,0,
10,1000000.0,1e-06,b_only,10001,1000000.0,sketch_pre_warm,2.7551833629321968e-17,1,6
10,1000000.0,1e-06,b_only,10001,1000000.0,spir,1.4078216561328618e-17,1,3
10,1000000.0,1e-06,b_only,10001,1000000.0,qr_ref,1.1297958834677554e-16,1,0
10,1000000.0,1e-06,b_only,20002,1000000.0,iter_sketch_mom,2.7062981925856712e-15,0,
10,1000000.0,1e-06,b_only,20002,1000000.0,sketch_pre_cold,1.2622796870304478e-09,0,
10,1000000.0,1e-06,b_only,20002,1000000.0,sketch_pre_warm,3.016056678407379e-17,1,5
10,1000000.0,1e-06,b_only,20002,1000000.0,spir,1.2055348857207465e-17,1,3
10,1000000.0,1e-06,b_only,20002,1000000.0,qr_ref,1.6198753618908588e-16,1,0
10,1000000.0,1e-06,b_only,30003,1000000.0,iter_sketch_mom,5.942876669893686e-15,0,
10,1000000.0,1e-06,b_only,30003,1000000.0,sketch_pre_cold,4.690117309150259e-10,0,
10,1000000.0,1e-06,b_only,30003,1000000.0,sketch_pre_warm,4.590205174509735e-17,1,5
10,1000000.0,1e-06,b_only,30003,1000000.0,spir,1.1846445353427102e-17,1,3
10,1000000.0,1e-06,b_only,30003,1000000.0,qr_ref,1.6175054964289792e-16,1,0
10,1000000.0,1e-06,b_only,40004,1000000.0,iter_sketch_mom,8.889651012423985e-14,0,
10,1000000.0,1e-06,b_only,40004,1000000.0,sketch_pre_cold,7.595095297155667e-10,0,
10,1000000.0,1e-06,b_only,40004,1000000.0,sketch_pre_warm,2.3582503904339562e-17,1,6
10,1000000.0,1e-06,b_only,40004,1000000.0,spir,1.1417966831515069e-17,1,3
