dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,sketch_pre_cold,9.134861688702614e-10,0,
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,sketch_pre_warm,1.7163863536504581e-12,0,
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,fossils,1.8604778426471837e-16,1,
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,spir,1.7991947291720982e-17,1,
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,qr_ref,1.4554638179451622e-16,1,0
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,sketch_solve,0.0002137712458565296,0,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,iter_sketch_mom,3.635709489170252e-15,0,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,sketch_pre_cold,9.124818090992785e-10,0,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,sketch_pre_warm,3.387443858140714e-12,0,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,fossils,3.727352455137179e-17,1,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,spir,1.507019327294218e-17,1,
well1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,130.18222806862735,qr_ref,1.4445549992715058e-16,1,0
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,sketch_solve,0.0002118934008470606,0,
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,iter_sketch_mom,3.943778296972196e-15,0,
well1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,134.4969830814984,sketch_pre_cold,9.694773655604157e-10,0,
