study,aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,fossils,8.037751730421695e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,spir,1.4902179932825753e-17,1,14
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,qr_ref,1.6744657888828373e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,sketch_solve,2.0875247275916533e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,iter_sketch_mom,3.2735554314478314e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,sketch_pre_cold,1.1134528560527961e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,sketch_pre_warm,7.033010506681536e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,fossils,7.305160043804353e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,spir,8.29348398345866e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,160016,1000.0,qr_ref,1.0121213254864123e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,sketch_solve,2.0606985259917288e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,iter_sketch_mom,9.527829745060688e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,sketch_pre_cold,1.3769654554113563e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,sketch_pre_warm,1.5686509297293185e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,fossils,1.2866413192648975e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,spir,6.52764854341595e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,170017,1000.0,qr_ref,1.3322763043522103e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,180018,1000.0,sketch_solve,1.9589580789123434e-07,0,
